
Host: RishiLaptop

Timers On : Wed Oct 15 18:52:45 2025
Timers Off: Wed Oct 15 18:55:14 2025

Wall Time:      148.48 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | DFH: compute_K                  :      0.000u      0.000s      0.014w     17 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     17 calls
RV: Form Vx                         :      0.000u      0.000s      2.827w     17 calls
| Properties                        :      0.000u      0.000s      0.479w   9452 calls
| Functional                        :      0.000u      0.000s      0.983w   9452 calls
| Derivative Properties             :      0.000u      0.000s      0.648w  28912 calls
| V_XCd                             :      0.000u      0.000s      0.667w  28912 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:25:15 2025
Timers Off: Sat Oct 18 17:25:20 2025

Wall Time:        5.02 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.028w      1 calls
build grid                          :      0.000u      0.000s      0.018w      1 calls
post-process grid                   :      0.000u      0.000s      0.010w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.004w      3 calls
DFH: initialize()                   :      0.000u      0.000s      0.009w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.027w      1 calls
SAD Guess                           :      0.000u      0.000s      0.026w      1 calls
HF: Form G                          :      0.000u      0.000s      0.628w      8 calls
RV: Form V                          :      0.000u      0.000s      0.625w      8 calls
Properties                          :      0.000u      0.000s      0.549w  13900 calls
Functional                          :      0.000u      0.000s      1.343w  13900 calls
V_xc                                :      0.000u      0.000s      0.095w   4448 calls
JK: D                               :      0.000u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     25 calls
JK: JK                              :      0.000u      0.000s      0.017w     25 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.017w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     25 calls
DFH: compute_K                      :      0.000u      0.000s      0.014w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.321w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls
RV: Form Vx                         :      0.000u      0.000s      2.602w     17 calls
Derivative Properties               :      0.000u      0.000s      0.590w  28912 calls
V_XCd                               :      0.000u      0.000s      0.600w  28912 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.028w      1 calls
| build grid                        :      0.000u      0.000s      0.018w      1 calls
| post-process grid                 :      0.000u      0.000s      0.010w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.009w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.027w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.026w      1 calls
HF: Form G                          :      0.000u      0.000s      0.628w      8 calls
| RV: Form V                        :      0.000u      0.000s      0.625w      8 calls
| | Properties                      :      0.000u      0.000s      0.107w   4448 calls
| | Functional                      :      0.000u      0.000s      0.417w   4448 calls
| | V_xc                            :      0.000u      0.000s      0.095w   4448 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.002w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.000u      0.000s      0.321w      7 calls
HF: Form C                          :      0.000u      0.000s      0.002w      7 calls
JK: D                               :      0.000u      0.000s      0.000w     17 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     17 calls
JK: JK                              :      0.000u      0.000s      0.016w     17 calls
| DFH: compute_JK()                 :      0.000u      0.000s      0.015w     17 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     17 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.002w     17 calls
| | DFH: compute_K                  :      0.000u      0.000s      0.013w     17 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     17 calls
RV: Form Vx                         :      0.000u      0.000s      2.602w     17 calls
| Properties                        :      0.000u      0.000s      0.442w   9452 calls
| Functional                        :      0.000u      0.000s      0.926w   9452 calls
| Derivative Properties             :      0.000u      0.000s      0.590w  28912 calls
| V_XCd                             :      0.000u      0.000s      0.600w  28912 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:36:38 2025
Timers Off: Sat Oct 18 17:36:39 2025

Wall Time:        1.85 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.009w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.012w      6 calls
DFH: initialize()                   :      0.000u      0.000s      0.027w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.047w      1 calls
SAD Guess                           :      0.000u      0.000s      0.046w      1 calls
HF: Form G                          :      0.000u      0.000s      0.002w      9 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     24 calls
JK: JK                              :      0.000u      0.000s      0.010w     24 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.010w     24 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     24 calls
DFH: compute_K                      :      0.000u      0.000s      0.008w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.000u      0.000s      0.361w      8 calls
HF: Form C                          :      0.000u      0.000s      0.003w      8 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.009w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.008w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.027w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      5 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.047w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.046w      1 calls
HF: Form G                          :      0.000u      0.000s      0.002w      9 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      0.000u      0.000s      0.001w      9 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.000u      0.000s      0.361w      8 calls
HF: Form C                          :      0.000u      0.000s      0.003w      8 calls
JK: D                               :      0.000u      0.000s      0.000w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     15 calls
JK: JK                              :      0.000u      0.000s      0.009w     15 calls
| DFH: compute_JK()                 :      0.000u      0.000s      0.009w     15 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     15 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.001w     15 calls
| | DFH: compute_K                  :      0.000u      0.000s      0.008w     15 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w     15 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:42:03 2025
Timers Off: Sat Oct 18 17:42:05 2025

Wall Time:        2.08 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.007w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.008w      6 calls
DFH: initialize()                   :      0.000u      0.000s      0.014w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.037w      1 calls
SAD Guess                           :      0.000u      0.000s      0.036w      1 calls
HF: Form G                          :      0.000u      0.000s      0.002w      9 calls
JK: D                               :      0.000u      0.000s      0.000w     27 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     27 calls
JK: JK                              :      0.000u      0.000s      0.007w     27 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.007w     27 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     27 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     27 calls
DFH: compute_K                      :      0.000u      0.000s      0.005w     27 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w     27 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.000u      0.000s      0.323w      8 calls
HF: Form C                          :      0.000u      0.000s      0.003w      8 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.007w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.006w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.014w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      5 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.037w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.036w      1 calls
HF: Form G                          :      0.000u      0.000s      0.002w      9 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      0.000u      0.000s      0.001w      9 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.000u      0.000s      0.323w      8 calls
HF: Form C                          :      0.000u      0.000s      0.003w      8 calls
JK: D                               :      0.000u      0.000s      0.000w     18 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     18 calls
JK: JK                              :      0.000u      0.000s      0.006w     18 calls
| DFH: compute_JK()                 :      0.000u      0.000s      0.006w     18 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     18 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.001w     18 calls
| | DFH: compute_K                  :      0.000u      0.000s      0.005w     18 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w     18 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:43:04 2025
Timers Off: Sat Oct 18 17:43:06 2025

Wall Time:        1.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.010w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.013w      6 calls
DFH: initialize()                   :      0.000u      0.000s      0.023w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.046w      1 calls
SAD Guess                           :      0.000u      0.000s      0.044w      1 calls
HF: Form G                          :      0.000u      0.000s      0.002w      9 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     24 calls
JK: JK                              :      0.000u      0.000s      0.010w     24 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.010w     24 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     24 calls
DFH: compute_K                      :      0.000u      0.000s      0.008w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.000u      0.000s      0.340w      8 calls
HF: Form C                          :      0.000u      0.000s      0.002w      8 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.010w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.009w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.023w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      5 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.046w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.044w      1 calls
HF: Form G                          :      0.000u      0.000s      0.002w      9 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      0.000u      0.000s      0.001w      9 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.000u      0.000s      0.340w      8 calls
HF: Form C                          :      0.000u      0.000s      0.002w      8 calls
JK: D                               :      0.000u      0.000s      0.000w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     15 calls
JK: JK                              :      0.000u      0.000s      0.009w     15 calls
| DFH: compute_JK()                 :      0.000u      0.000s      0.009w     15 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     15 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.001w     15 calls
| | DFH: compute_K                  :      0.000u      0.000s      0.008w     15 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w     15 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:46:17 2025
Timers Off: Sat Oct 18 17:47:33 2025

Wall Time:       75.92 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:49:19 2025
Timers Off: Sat Oct 18 17:49:21 2025

Wall Time:        1.83 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.014w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.016w      6 calls
DFH: initialize()                   :      0.000u      0.000s      0.021w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.035w      1 calls
SAD Guess                           :      0.000u      0.000s      0.034w      1 calls
HF: Form G                          :      0.000u      0.000s      0.003w      9 calls
JK: D                               :      0.000u      0.000s      0.001w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w     24 calls
JK: JK                              :      0.000u      0.000s      0.012w     24 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.012w     24 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     24 calls
DFH: compute_K                      :      0.000u      0.000s      0.010w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.000u      0.000s      0.342w      8 calls
HF: Form C                          :      0.000u      0.000s      0.003w      8 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.014w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.013w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.021w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      5 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.035w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.034w      1 calls
HF: Form G                          :      0.000u      0.000s      0.003w      9 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w      9 calls
| JK: JK                            :      0.000u      0.000s      0.001w      9 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.000u      0.000s      0.342w      8 calls
HF: Form C                          :      0.000u      0.000s      0.003w      8 calls
JK: D                               :      0.000u      0.000s      0.000w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     15 calls
JK: JK                              :      0.000u      0.000s      0.011w     15 calls
| DFH: compute_JK()                 :      0.000u      0.000s      0.011w     15 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     15 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.002w     15 calls
| | DFH: compute_K                  :      0.000u      0.000s      0.009w     15 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w     15 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sat Oct 18 17:49:32 2025
Timers Off: Sat Oct 18 17:50:15 2025

Wall Time:       43.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.140w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.270w      7 calls
JK: (A|mn)                          :      0.000u      0.000s      0.462w      1 calls
JK: (A|Q)^-1/2                      :      0.000u      0.000s      0.313w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.476w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.024w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.007w      1 calls
HF: Guess                           :      0.000u      0.000s      0.062w      1 calls
SAD Guess                           :      0.000u      0.000s      0.060w      1 calls
HF: Form G                          :      0.000u      0.000s      3.516w     20 calls
JK: D                               :      0.000u      0.000s      0.019w     29 calls
JK: USO2AO                          :      0.000u      0.000s      0.026w     29 calls
JK: JK                              :      0.000u      0.000s     36.568w     29 calls
JK: J                               :      0.000u      0.000s      2.982w     38 calls
JK: J1                              :      0.000u      0.000s      1.407w    376 calls
JK: J2                              :      0.000u      0.000s      1.518w    376 calls
JK: K                               :      0.000u      0.000s     33.315w     38 calls
JK: K1                              :      0.000u      0.000s     23.921w    394 calls
JK: K2                              :      0.000u      0.000s      9.389w    376 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     29 calls
HF: Form F                          :      0.000u      0.000s      0.001w     20 calls
HF: Form D                          :      0.000u      0.000s      0.001w     20 calls
HF: DIIS                            :      0.000u      0.000s      0.526w     19 calls
HF: Form C                          :      0.000u      0.000s      0.131w     19 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.140w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.095w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.174w      2 calls
JK: (A|mn)                          :      0.000u      0.000s      0.462w      1 calls
JK: (A|Q)^-1/2                      :      0.000u      0.000s      0.313w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      4 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.476w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.024w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.007w      1 calls
HF: Guess                           :      0.000u      0.000s      0.062w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.060w      1 calls
HF: Form G                          :      0.000u      0.000s      3.516w     20 calls
| JK: D                             :      0.000u      0.000s      0.001w     20 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     20 calls
| JK: JK                            :      0.000u      0.000s      3.512w     20 calls
| | JK: J                           :      0.000u      0.000s      0.284w     20 calls
| | | JK: J1                        :      0.000u      0.000s      0.135w     20 calls
| | | JK: J2                        :      0.000u      0.000s      0.147w     20 calls
| | JK: K                           :      0.000u      0.000s      3.092w     20 calls
| | | JK: K1                        :      0.000u      0.000s      2.250w     20 calls
| | | JK: K2                        :      0.000u      0.000s      0.841w     20 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     20 calls
HF: Form F                          :      0.000u      0.000s      0.001w     20 calls
HF: Form D                          :      0.000u      0.000s      0.001w     20 calls
HF: DIIS                            :      0.000u      0.000s      0.526w     19 calls
HF: Form C                          :      0.000u      0.000s      0.131w     19 calls
JK: D                               :      0.000u      0.000s      0.018w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.026w      9 calls
JK: JK                              :      0.000u      0.000s     33.056w      9 calls
| JK: J                             :      0.000u      0.000s      2.697w     18 calls
| | JK: J1                          :      0.000u      0.000s      1.272w    356 calls
| | JK: J2                          :      0.000u      0.000s      1.371w    356 calls
| JK: K                             :      0.000u      0.000s     30.223w     18 calls
| | JK: K1                          :      0.000u      0.000s     21.671w    374 calls
| | JK: K2                          :      0.000u      0.000s      8.548w    356 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      9 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sun Nov  2 13:44:59 2025
Timers Off: Sun Nov  2 13:46:00 2025

Wall Time:       61.03 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.050w      4 calls
build grid                          :      0.000u      0.000s      0.028w      4 calls
post-process grid                   :      0.000u      0.000s      0.021w      4 calls
Total PK formation time             :      0.000u      0.000s      0.062w      4 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.014w      8 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w      4 calls
HF: Guess                           :      0.000u      0.000s      0.109w      4 calls
SAD Guess                           :      0.000u      0.000s      0.105w      4 calls
HF: Form G                          :      0.000u      0.000s      1.317w     32 calls
RV: Form V                          :      0.000u      0.000s      1.310w     32 calls
Properties                          :      0.000u      0.000s      0.244w  12064 calls
Functional                          :      0.000u      0.000s      0.820w  12064 calls
V_xc                                :      0.000u      0.000s      0.236w  12064 calls
JK: D                               :      0.000u      0.000s      0.000w     32 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     32 calls
JK: JK                              :      0.000u      0.000s      0.005w     32 calls
PK computes JK                      :      0.000u      0.000s      0.005w     32 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     32 calls
HF: Form F                          :      0.000u      0.000s      0.000w     32 calls
HF: Form D                          :      0.000u      0.000s      0.000w     32 calls
HF: DIIS                            :      0.000u      0.000s     53.583w     28 calls
HF: Form C                          :      0.000u      0.000s      0.008w     28 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.050w      4 calls
| build grid                        :      0.000u      0.000s      0.028w      4 calls
| post-process grid                 :      0.000u      0.000s      0.021w      4 calls
Total PK formation time             :      0.000u      0.000s      0.062w      4 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.014w      8 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w      4 calls
HF: Guess                           :      0.000u      0.000s      0.109w      4 calls
| SAD Guess                         :      0.000u      0.000s      0.105w      4 calls
HF: Form G                          :      0.000u      0.000s      1.317w     32 calls
| RV: Form V                        :      0.000u      0.000s      1.310w     32 calls
| | Properties                      :      0.000u      0.000s      0.244w  12064 calls
| | Functional                      :      0.000u      0.000s      0.820w  12064 calls
| | V_xc                            :      0.000u      0.000s      0.236w  12064 calls
| JK: D                             :      0.000u      0.000s      0.000w     32 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     32 calls
| JK: JK                            :      0.000u      0.000s      0.005w     32 calls
| | PK computes JK                  :      0.000u      0.000s      0.005w     32 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     32 calls
HF: Form F                          :      0.000u      0.000s      0.000w     32 calls
HF: Form D                          :      0.000u      0.000s      0.000w     32 calls
HF: DIIS                            :      0.000u      0.000s     53.583w     28 calls
HF: Form C                          :      0.000u      0.000s      0.008w     28 calls

**************************************************************************************

Host: RishiLaptop

Timers On : Sun Nov  2 14:04:49 2025
Timers Off: Sun Nov  2 14:05:53 2025

